DISTRICT,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,Area
HOSHIARPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
HOWRAH,0,0,0,0,0,0,0,0,0,1,Peaceful Area
HOWRAH CITY,0,0,0,0,0,0,0,0,1,0,Peaceful Area
HOWRAH G.R.P.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
HYDERABAD CITY,0,10,0,0,0,0,0,0,43,23,Peaceful Area
I.G.I.AIRPORT,0,0,0,0,0,0,0,0,0,0,Peaceful Area
IDUKKI,0,18,0,0,0,0,29,0,21,32,Peaceful Area
IGI AIRPORT,0,0,0,0,0,0,0,0,0,0,Peaceful Area
IMPHAL EAST,0,0,1,0,0,0,0,0,0,1,Peaceful Area
IMPHAL WEST,0,0,0,0,0,0,0,0,0,1,Peaceful Area
IMPHAL(EAST),1,0,0,0,0,0,0,0,0,0,Peaceful Area
IMPHAL(WEST),1,0,0,0,0,0,0,0,0,0,Peaceful Area
INDORE RLY.,0,1,0,0,0,0,0,0,0,9,Peaceful Area
J.P.NAGAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
JABALPUR RLY.,0,1,0,0,0,0,0,0,0,0,Peaceful Area
JAGATSINGHPUR,0,0,0,0,0,0,0,0,2,2,Peaceful Area
JAGRAON,0,0,0,0,0,0,0,0,0,0,Peaceful Area
JAINTIA HILLS,0,0,0,0,0,0,0,0,0,0,Peaceful Area
JAIPUR EAST,1,4,0,0,0,1,0,0,9,151,Peaceful Area
JAIPUR NORTH,0,3,0,0,0,0,0,0,0,91,Peaceful Area
JAIPUR SOUTH,2,3,0,0,0,0,0,0,2,105,Peaceful Area
JAIPUR WEST,0,1,0,0,0,0,0,0,0,55,Peaceful Area
JAISALMER,1,2,1,0,0,2,0,0,67,136,Peaceful Area
JAJPUR,0,3,0,0,0,0,4,0,29,12,Peaceful Area
JALANDHAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
JALANDHAR RURAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
JALAUN,0,0,0,0,0,0,0,0,0,1,Peaceful Area
JALGAON,3,16,4,0,0,1,5,0,34,73,Peaceful Area
JALNA,2,4,1,3,0,1,0,0,3,10,Peaceful Area
JALPAIGURI,0,0,0,0,0,0,0,0,3,3,Peaceful Area
JAMALPUR RLY.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
JAMMU,0,0,0,0,0,0,0,0,0,0,Peaceful Area
JAMNAGAR,0,10,0,0,0,0,1,0,3,7,Peaceful Area
JAMSHEDPUR RLY.,0,1,1,0,0,0,0,0,3,0,Peaceful Area
JAMTARA,3,12,2,0,0,0,22,5,18,42,Peaceful Area
JAMUI,2,10,0,0,2,2,22,7,35,21,Peaceful Area
JANJGIR,11,16,0,0,2,0,38,0,7,136,Peaceful Area
JAUNPUR,0,0,0,0,0,0,0,0,0,10,Peaceful Area
JEHANABAD,2,1,0,0,0,0,0,0,9,0,Peaceful Area
JHABUA,3,36,4,0,0,0,25,0,0,80,Peaceful Area
JHAJJAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
JHANSI,0,0,0,0,0,0,0,0,0,15,Peaceful Area
JHARGRAM,0,0,0,0,0,0,0,0,0,2,Peaceful Area
JHARSUGUDA,2,10,0,0,0,0,28,0,65,33,Peaceful Area
JHUNJHUNU,5,5,0,0,0,1,52,0,33,155,Peaceful Area
JIND,0,0,0,0,0,0,0,0,0,0,Peaceful Area
JODHPUR,0,3,1,0,0,2,77,0,79,22,Peaceful Area
JODHPUR CITY,0,0,2,0,0,1,7,0,3,44,Peaceful Area
JODHPUR EAST,0,0,0,0,0,0,2,0,0,5,Peaceful Area
JODHPUR RURAL,3,3,0,0,0,0,125,0,4,1,Peaceful Area
JODHPUR WEST,0,1,0,0,0,0,0,0,0,6,Peaceful Area
JORHAT,0,0,0,0,0,0,0,0,1,1,Peaceful Area
JUNAGADH,1,0,4,0,2,0,4,0,3,2,Peaceful Area
K.G.F.,1,0,0,0,0,0,3,0,0,13,Peaceful Area
K/KUMEY,0,0,0,0,0,0,12,0,0,14,Peaceful Area
KABIRDHAM,5,14,1,0,0,0,31,0,59,113,Peaceful Area
KAITHAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KAMENG EAST,0,0,2,0,1,0,16,0,0,12,Peaceful Area
KAMENG WEST,0,0,0,0,0,0,5,0,0,6,Peaceful Area
KAMRUP,0,0,0,0,0,0,4,0,0,0,Peaceful Area
KANCHIPURAM,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KANGRA,0,1,0,0,0,0,0,0,5,0,Peaceful Area
KANNAUJ,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KANNUR,1,32,0,0,0,3,49,0,6,33,Peaceful Area
KANPUR DEHAT,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KANPUR NAGAR,0,0,0,0,0,0,0,0,0,16,Peaceful Area
KANSHIRAM NAGAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KANYAKUMARI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KAPURTHALA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KARAIKAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KARBI ANGLONG,0,4,0,0,0,5,7,0,0,3,Peaceful Area
KARGIL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KARIMGANJ,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KARNAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KARUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KASARGOD,2,74,0,0,0,0,27,0,7,61,Peaceful Area
KATHUA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KATIHAR,0,0,0,0,0,0,15,0,64,8,Peaceful Area
KATIHAR RLY.,0,0,0,0,0,0,0,0,1,0,Peaceful Area
KAUSHAMBI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KENDRAPARA,0,1,0,0,0,1,2,0,4,3,Peaceful Area
KHAGARIA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KHANNA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KHARAGPUR G.R.P.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KHASI HILLS EAST,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KHASI HILLS WEST,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KHEDA NORTH,0,5,0,0,0,1,7,0,5,7,Peaceful Area
KHIRI,0,0,0,0,0,0,1,0,0,1,Peaceful Area
KHOWAI,0,1,0,0,1,0,3,0,0,16,Peaceful Area
KHUNTI,16,2,3,3,0,0,4,0,1,16,Peaceful Area
KHURDA,0,1,0,0,0,0,10,0,15,7,Peaceful Area
KINNAUR,0,0,0,1,0,0,0,4,1,0,Peaceful Area
KIPHIRE,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KISHANGANJ,0,2,0,0,0,0,0,9,28,2,Peaceful Area
KISHTWAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KODAGU,6,7,1,0,1,0,15,0,6,9,Peaceful Area
KODERMA,3,2,0,0,0,0,0,3,3,5,Peaceful Area
KOKRAJHAR,9,8,4,0,4,0,18,0,0,4,Peaceful Area
KOLAR,3,5,0,0,0,0,5,0,26,25,Peaceful Area
KOLASIB,4,8,1,2,3,8,13,0,0,0,Peaceful Area
KOLHAPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
KOLKATA,0,0,0,0,0,0,0,0,0,1,Peaceful Area
KOLLAM,0,4,0,0,0,0,4,0,12,7,Peaceful Area
KOLLAM COMMR.,0,0,0,0,0,0,1,0,0,0,Peaceful Area
KOLLAM RURAL,0,0,0,0,0,0,1,0,11,0,Peaceful Area
KONDAGAON,1,2,2,0,0,0,1,0,0,1,Peaceful Area
KOPPAL,0,0,0,0,0,0,0,5,0,0,Peaceful Area
KORAPUT,4,28,0,0,0,0,11,0,161,75,Peaceful Area
