state,places of occurrence,Dacoity (Section 395-398 IPC) - Number of cases registered,Dacoity (Section 395-398 IPC) - Value Of Property Stolen (in rupees),"Robbery(Section 392-394, 397, 398 IPC) - Number of cases registered","Robbery(Section 392-394, 397, 398 IPC) - Value Of Property Stolen (in rupees)","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Number of cases registered","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Value Of Property Stolen (in rupees)",Theft (Section 379-382 IPC) - Number of cases registered,Theft (Section 379-382 IPC) - Value Of Property Stolen (in rupees),Area type
MIZORAM,RIVER & SEA,7,286546,3,76365,0,0,7,170283,Peaceful Area
MIZORAM,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
NAGALAND,BANKS,1,7537,6,805300,2,23326000,33,14259100,Peaceful Area
NAGALAND,COMMERCIAL ESTABLISHMENTS,9,131330,103,16481282,249,12641017,704,101301599,Peaceful Area
NAGALAND,HIGH-WAY,52,7566553,337,36513917,11,810000,242,31793361,Peaceful Area
NAGALAND,OTHER PLACES,31,2400359,335,911234486,353,46415808,1209,171848104,Peaceful Area
NAGALAND,RAILWAYS,1,450000,13,377850,1,4000,13,521440,Peaceful Area
NAGALAND,RESIDENTIAL PREMISES,31,1249503,248,79588635,530,70365546,1601,308565960,Peaceful Area
NAGALAND,RIVER & SEA,0,0,0,0,0,0,0,0,Peaceful Area
NAGALAND,RUNNING TRAINS,0,0,0,0,0,0,2,13950,Peaceful Area
ODISHA,BANKS,87,78629520,69,9244688,260,48076224,91,5169514,Peaceful Area
ODISHA,COMMERCIAL ESTABLISHMENTS,382,91425190,1445,82013568,5843,290022577,7925,353707652,Peaceful Area
ODISHA,HIGH-WAY,735,212177255,4403,258618150,179,1583026,1429,112405067,Peaceful Area
ODISHA,OTHER PLACES,1078,211639106,6018,323589300,7930,419326795,44309,1972683821,Peaceful Area
ODISHA,RAILWAYS,32,9148973,400,8363264,94,1413081,6385,201095258,Peaceful Area
ODISHA,RESIDENTIAL PREMISES,1067,136318271,2366,89033044,22199,651168286,22640,816319198,Peaceful Area
ODISHA,RIVER & SEA,0,0,4,91000,0,0,58,1270250,Peaceful Area
ODISHA,RUNNING TRAINS,13,298987,71,2265427,0,0,3678,102916621,Peaceful Area
PUDUCHERRY,BANKS,0,0,0,0,0,0,0,0,Peaceful Area
PUDUCHERRY,COMMERCIAL ESTABLISHMENTS,6,143000,10,974884,280,15961223,445,15776355,Peaceful Area
PUDUCHERRY,HIGH-WAY,0,0,0,0,0,0,0,0,Peaceful Area
PUDUCHERRY,OTHER PLACES,22,7847400,61,8752845,129,1445647,5981,135128125,Peaceful Area
PUDUCHERRY,RAILWAYS,0,0,0,0,0,0,0,0,Peaceful Area
PUDUCHERRY,RESIDENTIAL PREMISES,10,607000,18,3089500,655,43636265,939,24656266,Peaceful Area
PUDUCHERRY,RIVER & SEA,0,0,0,0,0,0,1,250000,Peaceful Area
PUDUCHERRY,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
PUNJAB,BANKS,17,8393050,53,37885581,351,19588117,208,9546525,Peaceful Area
PUNJAB,COMMERCIAL ESTABLISHMENTS,49,24511274,228,45589886,6388,424521792,7446,659933562,Peaceful Area
PUNJAB,HIGH-WAY,34,11329690,163,32954757,22,1713050,1753,93974552,Peaceful Area
PUNJAB,OTHER PLACES,250,65492323,1058,229322075,6508,442121473,27169,1906263742,Peaceful Area
PUNJAB,RAILWAYS,3,405900,12,828120,4,44947,499,25466026,Peaceful Area
PUNJAB,RESIDENTIAL PREMISES,107,68850810,314,57919167,14348,814315556,13421,966456646,Peaceful Area
PUNJAB,RIVER & SEA,0,0,0,0,0,0,7,614400,Peaceful Area
PUNJAB,RUNNING TRAINS,2,111850,2,2360,0,0,133,10977143,Peaceful Area
RAJASTHAN,BANKS,2,2367000,30,21073361,281,29826405,11,1888900,Peaceful Area
RAJASTHAN,COMMERCIAL ESTABLISHMENTS,47,21034191,225,39107703,15034,517410145,12556,807512793,Peaceful Area
RAJASTHAN,HIGH-WAY,136,135955005,769,245676162,0,0,1452,198599002,Peaceful Area
RAJASTHAN,OTHER PLACES,279,75700582,7723,667703983,11200,424285379,180296,6442723755,Moderate Area
RAJASTHAN,RAILWAYS,16,916463,52,10255784,6,4607,5985,100708964,Peaceful Area
RAJASTHAN,RESIDENTIAL PREMISES,83,42073350,272,8721270,38747,1123842725,32628,1081875132,Peaceful Area
RAJASTHAN,RIVER & SEA,0,0,0,0,0,0,46,399926,Peaceful Area
RAJASTHAN,RUNNING TRAINS,13,895900,30,1111370,0,0,3995,71654147,Peaceful Area
SIKKIM,BANKS,0,0,0,0,12,1033000,9,175500,Peaceful Area
SIKKIM,COMMERCIAL ESTABLISHMENTS,0,0,4,133000,99,5008925,88,6728210,Peaceful Area
SIKKIM,HIGH-WAY,1,31500,3,1857000,0,0,33,1907350,Peaceful Area
SIKKIM,OTHER PLACES,2,130500,33,1116800,159,3212443,388,13081040,Peaceful Area
