DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
JAINTIA HILLS,517,50,236,81,31,97,82,176,700,96,71,408,0,0,0,168,1001,3821,Peaceful Area
JAIPUR EAST,137,188,193,468,402,20,641,2448,16231,4300,45,271,60,4,1338,1452,15382,44533,Peaceful Area
JAIPUR NORTH,121,187,171,443,424,10,208,819,5339,3992,21,2430,67,0,1410,804,8381,25178,Peaceful Area
JAIPUR SOUTH,122,137,120,387,317,7,368,1829,9535,6077,30,1832,50,0,1342,1209,11124,35748,Peaceful Area
JAIPUR WEST,53,39,61,157,132,1,88,582,2075,1804,14,467,10,0,465,549,3592,10279,Peaceful Area
JAISALMER,81,31,45,113,67,2,40,646,1546,680,81,1420,68,0,245,537,5450,11431,Peaceful Area
JALANDHAR RURAL,95,122,68,71,59,22,64,305,418,302,26,578,7,7,115,335,805,3443,Peaceful Area
JALAUN,672,364,82,427,285,34,173,383,1256,403,45,101,364,204,419,1098,6984,13960,Peaceful Area
JALORE,269,240,134,398,308,7,74,968,1933,1488,251,542,121,0,1239,1137,19270,29059,Peaceful Area
JAMALPUR RLY.,82,28,6,38,6,118,84,11,1584,34,1,56,5,0,2,5,684,2839,Peaceful Area
JAMSHEDPUR RLY.,66,3,11,26,19,48,86,71,1596,35,1,76,3,0,6,9,812,2923,Peaceful Area
JAMTARA,223,290,238,152,87,53,70,306,911,189,37,1059,64,2,258,131,2222,7138,Peaceful Area
JANJGIR,564,330,462,124,96,24,307,2557,3251,383,217,6806,133,128,1126,1400,11656,31993,Peaceful Area
JASHPUR,656,196,713,263,190,62,271,878,943,179,86,1222,16,36,186,710,5008,12327,Peaceful Area
JEHANABAD,632,423,101,409,142,213,253,502,1698,341,80,1497,252,0,262,402,8719,17432,Peaceful Area
JHAJJAR,638,428,231,265,171,51,282,1485,3394,496,62,1614,178,278,1226,1893,5628,19514,Peaceful Area
JHANSI,675,341,141,454,337,15,245,677,2358,662,43,987,286,496,377,732,6872,16686,Peaceful Area
JHARGRAM,30,23,21,21,21,10,19,3,97,17,1,11,6,0,47,51,264,711,Peaceful Area
JHARSUGUDA,237,262,170,102,79,80,344,933,2248,232,105,3228,33,53,251,1464,2999,13924,Peaceful Area
JIND,483,335,302,298,206,23,238,1887,3720,534,78,1719,166,213,835,34,7622,20557,Peaceful Area
JODHPUR,203,432,135,419,302,7,186,1747,5218,2560,201,11653,75,19,1303,1227,6948,33821,Peaceful Area
JODHPUR CITY,117,319,128,314,246,5,133,1079,4662,3187,46,3366,66,10,1475,904,5450,21731,Peaceful Area
JODHPUR EAST,12,27,20,15,13,0,16,50,397,447,1,417,11,0,296,114,459,2303,Peaceful Area
JODHPUR RURAL,177,201,172,231,182,12,74,655,1537,1275,117,6650,112,0,692,1568,5583,19459,Peaceful Area
JODHPUR WEST,15,42,20,29,23,0,23,124,646,275,12,286,5,0,5,170,538,2228,Peaceful Area
JORHAT,506,159,476,670,509,42,248,1048,3104,458,157,2818,9,0,1082,1133,4674,17883,Peaceful Area
K.G.F.,167,215,64,104,63,12,104,780,1259,221,0,2930,57,2,246,184,3558,10857,Peaceful Area
