DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
NIZAMABAD,1339,656,412,630,384,123,329,3496,6027,2361,448,21756,225,718,5084,4289,11648,61912,Moderate Area
NORTH,720,437,749,1523,912,76,617,1584,13256,1809,158,3376,93,144,2196,429,19162,48469,Moderate Area
NORTH WEST,504,435,475,1534,951,44,447,1939,9925,619,40,1429,107,71,599,160,18622,37814,Moderate Area
NORTH-EAST,527,444,565,2733,1715,28,467,1078,15265,806,23,2173,176,120,1638,1228,12964,41292,Moderate Area
NORTH-WEST,594,542,695,2520,1489,44,827,2325,17635,1191,31,1630,116,107,1581,181,19644,50681,Moderate Area
OSMANABAD,547,276,308,211,155,216,344,2248,4366,1079,301,7922,23,106,1712,2617,9183,34476,Moderate Area
OUTER,531,355,410,2653,1598,28,353,1453,11625,849,33,1382,141,53,1107,234,11905,33853,Moderate Area
PALAKKAD,489,406,638,141,77,95,377,2883,3157,2375,396,14881,38,122,3624,61,42717,80723,Moderate Area
PALAMU,940,914,292,469,244,323,484,992,1825,393,204,4385,249,10,289,446,6678,21289,Moderate Area
PALANPUR,509,298,315,734,688,121,481,2506,4824,523,282,12298,9,13,2474,2273,22330,51920,Moderate Area
PALI,462,588,482,1040,912,8,241,2389,4026,3620,234,531,123,14,3612,3030,37123,59702,Moderate Area
PANCHMAHAL,627,158,112,546,531,256,223,1480,3065,247,348,4008,1,37,1546,341,23069,37522,Moderate Area
PANIPAT,534,289,524,543,373,86,359,2225,7924,486,52,2039,149,224,1549,2675,7919,29195,Moderate Area
PARBHANI,587,483,240,246,141,197,636,2481,3791,780,343,11617,80,73,2103,1336,3953,31594,Moderate Area
PASCHIM MIDNAPUR,1350,706,705,806,805,224,397,250,4596,493,249,1298,255,10,5355,24,17031,38981,Moderate Area
PATIALA,594,587,322,470,366,22,75,2437,4201,3023,41,4469,119,25,1403,3791,13793,36285,Moderate Area
PILIBHIT,691,709,308,678,553,69,220,371,1450,1132,7,75,321,392,1365,807,12655,22580,Moderate Area
PRAKASHAM,1089,1023,318,758,593,86,208,2248,5132,2280,559,17332,110,876,2409,4549,17924,60364,Moderate Area
PRATAPGARH,823,957,661,1066,962,37,314,1257,2532,1329,209,5960,354,98,1921,1541,10889,32661,Moderate Area
PUNE RURAL,1619,704,676,492,326,417,1250,5825,14253,1984,344,8220,129,255,2195,10897,19310,74163,Moderate Area
PURAB MIDNAPUR,707,166,555,1042,969,92,184,156,3320,614,68,113,345,3,4857,2254,15992,35502,Moderate Area
PURI,492,973,401,404,323,113,994,1954,3751,523,184,1020,277,38,724,1731,17936,32735,Moderate Area
PURNEA,1128,961,871,1074,524,496,824,997,2508,916,372,3501,144,11,534,1240,12675,31399,Moderate Area
RAIBAREILLY,714,631,393,640,571,36,219,806,2327,707,40,3099,287,352,1233,1691,7275,22326,Moderate Area
RAIPUR,1113,880,1560,517,404,71,760,8098,14067,1565,436,19660,180,391,1378,4938,38049,98510,Moderate Area
RAISEN,546,667,1021,205,165,17,238,1472,2705,150,118,8639,200,127,676,1383,22737,43662,Moderate Area
RAJGARH,403,564,1023,277,217,60,377,1996,4082,175,692,4548,87,356,1006,1449,33600,54255,Moderate Area
RAJKOT COMMR.,423,268,93,514,410,89,442,3191,13253,631,314,4818,23,128,2659,1282,22132,52176,Moderate Area
RAJKOT RURAL,470,295,249,640,564,102,300,2192,4271,220,218,4796,35,45,3033,3274,28670,51010,Moderate Area
RAMPUR,832,920,376,831,698,95,519,742,3359,1463,43,355,205,80,539,1167,8725,22119,Moderate Area
RANCHI,2618,1282,791,992,475,759,1769,1963,12276,1058,161,4364,145,11,729,2828,14904,50140,Moderate Area
RANGA REDDY,1091,478,338,450,316,66,213,3266,4260,1702,452,13892,268,316,2001,2970,7811,41037,Moderate Area
