DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
KUTCH (EAST(G)),25,40,3,25,1,325,0,Peaceful Area
KUTCH (WEST-BHUJ),23,32,0,32,0,235,0,Peaceful Area
LAHAUL-SPITI,10,4,0,5,2,11,0,Peaceful Area
LAKHISARAI,156,189,124,123,7,217,0,Peaceful Area
LAKSHADWEEP,7,1,0,5,0,7,0,Peaceful Area
LALITPUR,122,112,101,217,203,237,0,Peaceful Area
LATEHAR,162,94,40,42,0,57,0,Peaceful Area
LAWNGTLAI,40,1,2,32,1,0,0,Peaceful Area
LEH,35,26,0,45,2,1,0,Peaceful Area
LOHARDAGGA,261,86,9,74,0,210,0,Peaceful Area
LOHIT,50,67,0,69,0,5,0,Peaceful Area
LONGLENG,1,1,0,0,0,0,0,Peaceful Area
LUDHIANA RURAL,49,59,12,16,8,115,0,Peaceful Area
LUNGLEI,104,0,0,107,1,0,0,Peaceful Area
MADHEPURA,174,311,126,52,2,186,4,Peaceful Area
MADURAI RURAL,244,446,105,752,115,760,0,Peaceful Area
MADURAI URBAN,70,207,78,237,392,587,0,Peaceful Area
MAHARAJGANJ,193,326,155,159,228,282,0,Peaceful Area
MAHASAMUND,359,117,48,729,52,265,0,Peaceful Area
MAHENDRAGARH,198,215,107,236,0,593,0,Peaceful Area
MAHOBA,106,170,146,264,80,152,0,Peaceful Area
MAJITHA,66,70,32,50,3,125,0,Peaceful Area
MALKANGIR,167,92,24,335,36,137,0,Peaceful Area
MAMIT,47,0,0,29,0,15,2,Peaceful Area
MANDI,261,140,5,718,83,470,0,Peaceful Area
MANDYA,256,182,131,915,3,1354,1,Peaceful Area
MANGALORE CITY,28,8,1,56,3,91,3,Peaceful Area
MANSA,171,72,47,73,2,178,0,Peaceful Area
MAU,132,400,131,265,332,535,0,Peaceful Area
MEHSANA,92,585,15,353,11,2637,0,Peaceful Area
MEWAT,264,107,57,107,50,1121,0,Peaceful Area
MIDNAPUR,84,74,58,54,1,470,0,Peaceful Area
MIRZAPUR,110,94,258,125,87,737,0,Peaceful Area
MOGA,152,144,47,151,9,261,0,Peaceful Area
MOKOKCHUNG,12,1,0,5,3,0,0,Peaceful Area
MON,13,5,0,3,0,0,0,Peaceful Area
MUKTSAR,149,119,41,88,3,229,0,Peaceful Area
MUMBAI RLY.,31,31,3,136,29,0,0,Peaceful Area
MUNGELI,6,13,2,24,3,26,0,Peaceful Area
MUNGER,155,352,128,56,0,476,0,Peaceful Area
MUZAFFARPUR RLY.,23,20,4,31,0,7,0,Peaceful Area
MYSORE COMMR.,124,142,73,218,1,960,21,Peaceful Area
MYSORE RURAL,200,158,123,1053,2,1141,0,Peaceful Area
N.C.HILLS,33,95,5,26,4,92,0,Peaceful Area
NAGAPATTINAM,137,297,52,608,126,164,0,Peaceful Area
NAGPUR RLY.,11,16,3,72,19,4,0,Peaceful Area
NAINITAL,109,251,123,121,100,257,1,Peaceful Area
NALBARI,322,544,31,553,0,609,0,Peaceful Area
NAMAKKAL,115,363,34,503,169,285,0,Peaceful Area
NANDURBAR,221,92,17,347,81,996,0,Peaceful Area
NARAYANPUR,25,4,1,28,3,6,0,Peaceful Area
NARMADA,73,54,0,63,6,107,0,Peaceful Area
NASIK COMMR.,202,173,37,398,155,1502,0,Peaceful Area
NAUGACHIA,89,130,90,131,0,313,0,Peaceful Area
NAVI MUMBAI,260,120,54,449,194,818,0,Peaceful Area
NAVSARI,42,100,3,45,5,381,0,Peaceful Area
NAWADAH,263,269,243,107,8,352,10,Peaceful Area
NAWAN SHAHR,82,61,22,53,4,146,0,Peaceful Area
NAYAGARH,246,241,134,119,34,384,0,Peaceful Area
NEEMUCH,301,81,32,694,131,602,9,Peaceful Area
NEW DELHI,84,181,7,266,130,94,0,Peaceful Area
NICOBAR,2,0,0,8,0,1,0,Peaceful Area
NILGIRIS,90,52,8,232,49,93,0,Peaceful Area
NORTH EAST,195,487,71,148,15,309,0,Peaceful Area
NORTH GOA,169,77,11,184,71,92,0,Peaceful Area
NOWRANGPUR,337,252,15,711,102,296,0,Peaceful Area
NUAPADA,116,90,25,473,61,201,0,Peaceful Area
OSMANABAD,308,155,23,752,106,1712,0,Peaceful Area
PAKUR,467,100,28,95,1,361,0,Peaceful Area
PALWAL,230,199,80,179,67,549,0,Peaceful Area
PANCHKULA,144,163,38,194,159,784,0,Peaceful Area
PANCHMAHAL,112,531,1,367,37,1546,0,Peaceful Area
PANCHSHIL NAGAR,33,129,32,47,0,128,0,Peaceful Area
PAPUM PARE,71,102,0,113,11,34,0,Peaceful Area
PARBHANI,240,141,80,680,73,2103,0,Peaceful Area
PATAN,108,318,0,349,3,1518,0,Peaceful Area
PATHANAMTHITTA,262,110,8,1649,146,1612,0,Peaceful Area
PATHANKOT,23,23,12,4,0,46,0,Peaceful Area
PATIALA,322,366,119,422,25,1403,0,Peaceful Area
PATNA RLY.,14,27,25,131,0,15,0,Peaceful Area
PAURI GARHWAL,55,95,65,64,22,126,0,Peaceful Area
PERAMBALUR,159,238,32,504,85,213,0,Peaceful Area
PEREN,7,0,0,6,1,0,0,Peaceful Area
PHEK,18,1,0,10,0,0,0,Peaceful Area
PITHORAGARH,59,23,41,78,10,78,0,Peaceful Area
PONDICHERRY,41,51,21,365,197,59,0,Peaceful Area
POONCH,161,244,0,234,49,128,0,Peaceful Area
PORBANDAR,40,96,7,68,7,669,0,Peaceful Area
PRABUDDH NAGAR,18,114,22,27,0,138,0,Peaceful Area
PUDUCHERRY,24,55,4,140,62,40,0,Peaceful Area
PUDUKOTTAI,99,321,42,508,37,370,0,Peaceful Area
PULWAMA,79,427,3,317,112,4,0,Peaceful Area
PUNE RLY.,10,6,1,18,3,0,0,Peaceful Area
R.P.O.,50,20,0,5,0,22,0,Peaceful Area
RAICHUR,195,192,64,1022,33,1301,0,Peaceful Area
RAIGAD,253,80,56,467,120,608,0,Peaceful Area
RAILWAYS,10,6,11,139,46,3,0,Peaceful Area
RAILWAYS JAMMU,0,0,0,0,1,0,0,Peaceful Area
RAILWAYS KASHMIR,0,1,0,0,1,0,0,Peaceful Area
RAILWAYS KATRA,0,0,0,0,0,0,0,Peaceful Area
RAILWAYS KMR,0,0,0,2,0,0,0,Peaceful Area
RAJAHMUNDRY,38,45,10,140,108,468,0,Peaceful Area
RAJKOT COMMR.,93,410,23,184,128,2659,0,Peaceful Area
RAJKOT RURAL,249,564,35,416,45,3033,0,Peaceful Area
RAJOURI,295,381,23,294,75,348,0,Peaceful Area
RAJSAMAND,125,488,40,456,11,2010,0,Peaceful Area
RAMABAI NAGAR,51,237,79,105,0,230,0,Peaceful Area
RAMANAGAR,78,143,87,398,0,319,0,Peaceful Area
RAMBAN,109,130,0,82,41,4,0,Peaceful Area
RAMGARH,118,120,47,50,4,128,1,Peaceful Area
RAMNATHAPURAM,118,304,36,385,61,205,0,Peaceful Area
RATNAGIRI,240,70,9,417,235,542,0,Peaceful Area
RAYAGADA,275,159,43,765,44,348,12,Peaceful Area
REASI,88,132,0,95,47,16,0,Peaceful Area
REWARI,212,222,126,253,94,690,0,Peaceful Area
RI-BHOI,136,27,0,56,0,7,4,Peaceful Area
ROPAR,136,122,44,155,29,302,0,Peaceful Area
ROURKELA,295,156,40,775,78,388,0,Peaceful Area
RUDRA PRAYAG,26,28,49,45,14,33,0,Peaceful Area
RURAL,11,9,0,17,0,4,0,Peaceful Area
S.T.F.,1,0,0,1,0,0,0,Peaceful Area
SAHARSA,197,225,136,334,2,251,7,Peaceful Area
SAHEBGANJ,549,225,63,184,3,334,2,Peaceful Area
SAIHA,33,4,2,64,1,0,0,Peaceful Area
SALEM URBAN,154,206,52,139,184,313,0,Peaceful Area
SAMBA,24,40,5,34,34,23,0,Peaceful Area
SAMBALPUR,326,143,31,800,91,312,0,Peaceful Area
SANGLI,429,148,107,627,120,1103,0,Peaceful Area
SANGRUR,289,175,92,200,29,575,0,Peaceful Area
